Modelis,Accuracy,Recall,F1 Score,ROC-AUC,CV Mean
Logistic Regression,0.616,0.7586206896551724,0.4782608695652174,0.7478448275862069,0.6557926829268292
Decision Tree,0.68,0.7586206896551724,0.5238095238095238,0.7214439655172413,0.7432926829268294
Random Forest,0.92,0.8275862068965517,0.8275862068965517,0.9655172413793103,0.8903658536585366
